Name;GamesPlayed;MinutesPlayed;PointsPerGame;FieldGoalsMade;Target
Brandon Ingram;36;27.04.00;07.04;02.06;0
Andrew Harrison;35;26.09.00;07.02;2;0
JaKarr Sampson;74;15.03;05.02;2;0
Malik Sealy;58;11.06;05.07;02.03;1
Matt Geiger;48;11.05;04.05;01.06;1
Tony Bennett;75;11.04;03.07;01.05;0
Don MacLean;62;10.09;06.06;02.05;1
Tracy Murray;48;10.03;05.07;02.03;1
Duane Cooper;65;09.09;02.04;1;0
Dave Johnson;42;08.05;03.07;01.04;0
Corey Williams;35;06.09;02.03;00.09;0
Sam Mack;40;06.07;03.06;01.02;1
Lorenzo Williams;27;06.06;01.03;00.06;1
P.J. Hairston;45;15.03;05.06;01.09;0
Elmore Spencer;44;06.04;02.04;1;1
John Crotty;40;06.01;02.06;00.09;1
Stephen Howard;49;05.03;02.01;00.07;0
Randy Woods;41;04.02;01.07;00.06;0
Larry Johnson;82;37.02.00;19.02;07.05;0
Larry Johnson;82;37.02.00;19.02;07.05;1
Billy Owens;80;31.04.00;14.03;05.09;1
Stacey Augmon;82;30.05.00;13.03;05.04;1
Mark Macon;76;30.03.00;10.06;04.04;1
Steven Smith;61;29.06.00;12;04.09;0
Mitch McGary;32;15.02;06.03;02.08;0
Larry Stewart;76;29.03.00;10.04;4;1
Mike Iuzzolino;52;24.06.00;09.03;03.01;0
Doug Smith;76;22.05;08.08;03.08;1
Paul Graham;78;22;10.01;03.09;0
Donald Hodge;51;20.07;08.04;03.02;1
Dale Davis;64;20.03;06.02;02.04;1
Stanley Roberts;55;20.03;10.04;04.03;1
Terrell Brandon;82;19.06;07.04;03.01;1
Bison Dele;48;18.09;09.01;03.06;1
Spencer Dinwiddie;34;13.04;04.03;01.05;0
Tracy Moore;42;18.06;08.05;03.01;1
Greg Anthony;82;18.04;05.05;2;1
Kenny Anderson;64;17;7;02.09;1
Victor Alexander;80;16.09;07.04;3;1
David Benoit;77;15.01;05.06;02.03;1
Kevin Lynch;55;14.09;04.01;01.07;0
LaBradford Smith;48;14.08;05.01;02.01;0
Chris Corchiani;51;14.05;5;01.05;0
Travis Wear;51;13.02;03.09;01.06;0
Robert Pack;72;12.04;04.06;01.06;1
Pete Chilcutt;69;11.08;03.06;01.06;1
Chris Gatling;54;11.03;05.07;02.02;1
Tharon Mayes;24;10.06;04.01;01.03;0
Eric Murdock;50;09.06;04.01;01.05;1
Randy Brown;56;09.06;03.04;01.04;1
Greg Sutton;67;9;03.07;01.04;0
Elliot Perry;50;08.07;02.05;1;1
Marty Conlon;45;08.05;02.07;01.01;1
Rodney Monroe;38;08.02;03.04;01.04;0
John Turner;42;08.02;02.08;1;0
Mark Randall;54;08.02;03.02;01.03;0
Sean Green;35;07.03;4;01.08;0
Kevin Brooks;37;07.03;02.08;01.02;0
Doug Lee;46;06.07;02.06;01.01;0
Corey Crowder;51;06.04;02.02;00.08;0
Rich King;40;05.03;02.02;00.07;0
Stephen Thompson;19;04.08;01.06;00.07;0
Charles Thomas;36;04.03;01.03;00.05;0
Lionel Simmons;79;37.07.00;18;06.09;1
Gary Harris;55;13.01;03.04;01.02;0
Derrick Coleman;74;35.02.00;18.04;06.09;1
Travis Mays;64;33.05.00;14.03;04.06;0
Dennis Scott;82;28.05.00;15.07;06.01;1
Gary Payton*;82;27.04.00;07.02;03.02;1
Felton Spencer;81;25.09.00;07.01;02.04;1
Willie Burton;76;25.04.00;12;04.05;1
Dee Brown;82;23.07;08.07;03.05;0
Dee Brown;82;23.07;08.07;03.05;1
Dee Brown;49;09.02;01.09;00.07;0
Dee Brown;49;09.02;01.09;00.07;1
